"시도별(1)","설립주체별(1)",2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
"시도별(1)","설립주체별(1)",유치원수 (개),학급수 (개),원아수 (명),원아수 (명),교원수 (명),교원수 (명),직원수 (명),직원수 (명),신입원아수 (명),신입원아수 (명),졸업원아수 (명),졸업원아수 (명),교실수 (개),교실수 (개),교실수 (개),교실수 (개),교실수 (개)
"시도별(1)","설립주체별(1)",소계,소계,소계,여자,소계,여자,소계,여자,소계,여자,소계,여자,소계,일반교실,교과교실,특별교실,수준별교실
"전북","계",507,1565,21188,10420,2437,2403,178,86,9065,4505,8309,4050,1211,1122,8,70,11
"전북","국립",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"전북","공립",365,653,7655,3760,1318,1313,93,42,3862,1936,3312,1613,209,197,-,10,2
"전북","사립",142,912,13533,6660,1119,1090,85,44,5203,2569,4997,2437,1002,925,8,60,9
"전남","계",530,1394,17889,8889,2379,2355,132,68,8106,4036,7432,3733,845,782,5,54,4
"전남","국립",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"전남","공립",432,824,9602,4765,1678,1669,83,40,4752,2334,4382,2194,238,204,1,32,1
"전남","사립",98,570,8287,4124,701,686,49,28,3354,1702,3050,1539,607,578,4,22,3
"경북","계",701,2136,35478,17440,3198,3120,194,111,15573,7658,14661,7072,1686,1521,27,124,14
"경북","국립",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"경북","공립",473,791,10762,5276,1268,1259,59,34,5669,2763,5404,2625,138,127,-,11,-
"경북","사립",228,1345,24716,12164,1930,1861,135,77,9904,4895,9257,4447,1548,1394,27,113,14
"경남","계",686,2718,47191,23144,4080,4011,355,203,20336,9996,19074,9399,2376,2131,37,206,2
"경남","국립",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"경남","공립",426,853,12066,5799,1536,1526,99,55,6794,3319,6289,3053,237,214,1,22,-
"경남","사립",260,1865,35125,17345,2544,2485,256,148,13542,6677,12785,6346,2139,1917,36,184,2
"제주","계",123,302,6395,3187,427,421,18,12,4594,2278,3979,1902,130,120,-,10,-
"제주","국립",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제주","공립",102,183,3357,1655,207,206,-,-,2960,1457,2672,1271,-,-,-,-,-
"제주","사립",21,119,3038,1532,220,215,18,12,1634,821,1307,631,130,120,-,10,-
