지역,상호,타입,주소,위도,경도
광주광역시,첨단제일주유소,주유소,광주 북구 삼소로 191 (대촌동),35.2258026,126.8610119
광주광역시,(주)한일주유소,주유소,광주 북구 하서로 225,35.1954075,126.8764647
광주광역시,(주)차나라주유소,주유소,광주 북구 동문대로 138,35.1749944,126.9272138
광주광역시,신용주유소,주유소,광주 북구 임방울대로 959 (신용동),35.2153153,126.8629565
광주광역시,신용구도일주유소,주유소,광주 북구 임방울대로 953,35.2154707,126.8622272
광주광역시,평화셀프주유소,주유소,광주 북구 경열로 257(신안동),35.1623648,126.907609
광주광역시,북성주유소,주유소,광주 북구 금남로 49 (임동),35.1589601,126.9015026
광주광역시,첨단용두주유소,주유소,광주 북구  빛고을대로 663,35.1633056,126.8552532
광주광역시,현대오일뱅크(주)직영 동천마을셀프주유소,주유소,광주 북구 하남대로 691 (동림동),35.1720911,126.8683712
광주광역시,동부에너지주유소,주유소,광주 북구 하서로 571 (본촌동),35.2183199,126.883819
광주광역시,세본주유소,주유소,광주 북구 용주로 21,35.1814874,126.9004135
광주광역시,지산주유소,주유소,광주 북구 양산택지로 157,35.2173315,126.8781023
광주광역시,천보주유소,주유소,광주 북구 우치로 812 (용전동),35.2407301,126.8960891
광주광역시,(유)플러스주유소,주유소,광주 북구  설죽로 408 (삼각동),35.1956344,126.9003041
광주광역시,망월주유소,주유소,광주 북구 동문대로 603 (망월동),35.207419,126.9551617
광주광역시,패밀리셀프주유소,주유소,광주 북구 우치로 670,35.2241556,126.9023745
광주광역시,무등주유소,주유소,광주 북구 무등로 142 (신안동),35.1639316,126.9023435
광주광역시,(주)일곡우리주유소,주유소,광주 북구 우치로 595 (일곡동),35.2077608,126.8909297
광주광역시,코끼리주유소(SK),주유소,광주 북구 서하로 77 (매곡동),35.1895253,126.8925347
광주광역시,동문주유소,주유소,광주 북구 서하로 468,35.1807585,126.9291153
광주광역시,현대오일뱅크(주)직영 빛고을로셀프주유소,주유소,광주 북구 빛고을대로 657 (용두동),35.1633056,126.8552532
광주광역시,매곡주유소,주유소,광주 북구 서하로 86 (매곡동),35.1896395,126.8928933
광주광역시,(주)케이피유통(본촌주유소),주유소,광주 북구 하서로 530 (본촌동),35.220949,126.8829054
광주광역시,SK에너지(주) 문흥주유소,주유소,광주 북구 서하로 286 (오치동),35.186809,126.9116695
광주광역시,고려주유소,주유소,광주 북구 설죽로 398 (삼각동),35.1947269,126.9002252
광주광역시,대성주유소,주유소,광주 북구 천지인로 91 (오치동),35.1843214,126.9085922
광주광역시,지에스칼텍스(주)북광주IC주유소,주유소,광주 북구 삼소로 330 (월출동),35.2479975,126.8721499
광주광역시,문화주유소,주유소,광주 북구 동문대로 299 (문흥동),35.1886453,126.9262485
광주광역시,첨단북광주IC주유소,주유소,광주광역시 북구 삼소로 318 (월출동),35.2475859,126.8730577
광주광역시,테크노파크주유소,주유소,광주 북구 삼소로 307 (월출동),35.2473811,126.8737088
광주광역시,도동재주유소,주유소,광주 북구 동문대로 410,35.1981474,126.9352892
광주광역시,북광주IC주유소,주유소,광주 북구 하서로 678 (지야동),35.2345249,126.8734218
광주광역시,현대오일뱅크(주)직영 양산주유소,주유소,광주 북구 하서로 255 (양산동),35.2092861,126.8715422
광주광역시,현대오일뱅크(주) 대림셀프주유소,주유소,광주 북구 하서로 380 (양산동),35.2103021,126.873851
광주광역시,두암주유소,주유소,광주 북구 군왕로 103 (두암동),35.1703631,126.9323078
광주광역시,광주화물터미널(주),주유소,광주 북구 동문대로 280 (각화동),35.1813598,126.9387502
광주광역시,SK에너지(주) 으뜸주유소,주유소,광주 북구 군왕로 177 (두암동),35.1770732,126.9337669
광주광역시,일신주유소,주유소,광주 북구 설죽로 645 (일곡동),35.2150941,126.8999934
광주광역시,주공주유소,주유소,광주 북구 북문대로 190 (운암동),35.1851938,126.8708169
광주광역시,SK에너지 일곡제일주유소,주유소,광주 북구 설죽로 421 (삼각동),35.1968571,126.8996529
광주광역시,용전IC주유소,주유소,광주 북구 우치로 842 (용전동),35.2380001,126.8938888
광주광역시,세오(주)직영 미래주유소,주유소,광주 북구 임방울대로 979 (신용동),35.2147967,126.864944
광주광역시,일곡주유소,주유소,광주 북구 우치로422번길 22 (삼각동),35.2045394,126.9023179
광주광역시,(주)안국에너지 우신주유소,주유소,광주 북구 동문대로 218 (각화동),35.181928,126.9367359
광주광역시,(주)반디석유 산수점,주유소,광주 동구 필문대로 164,35.1560015,126.9312069
광주광역시,(주)대창석유직영 지산주유소,주유소,광주 동구 필문대로 219 (지산동),35.1510858,126.9309496
광주광역시,(주)대창석유직영 동명주유소,주유소,광주 동구 필문대로 237 (동명동),35.1527903,126.9203726
광주광역시,삼영아름주유소,주유소,광주 동구 남문로 523 (용산동),35.1095083,126.9201748
광주광역시,(주)아승그린주유소,주유소,광주 동구 필문대로153번길 3,35.1571625,126.9319194
광주광역시,주남셀프주유소,주유소,광주 동구 남문로 350,35.1196779,126.9327871
광주광역시,현대오일뱅크(주)직영 학운IC주유소,주유소,광주 동구 의재로 111 (운림동),35.1323521,126.9398649
광주광역시,솔바우주유소,주유소,광주 동구 남계길 4 (내남동),35.0965683,126.9399346
광주광역시,학동주유소,주유소,광주 동구 남문로 705 (학동),35.1336209,126.932735
광주광역시,독립로주유소,주유소,광주 남구 독립로 143,35.1462057,126.9034134
광주광역시,서양새마을금고주유소,주유소,광주 남구 독립로 140 (월산동),35.1460182,126.9039087
광주광역시,남선석유(주)빛고을주유소,주유소,광주 남구 서문대로 42,35.1098938,126.8786422
광주광역시,알라딘효천,주유소,광주 남구 서문대로 37 (이장동),35.1137562,126.8905454
광주광역시,송암B주유소,주유소,광주 남구 서문대로 483,35.1084131,126.8858023
광주광역시,광주대주유소,주유소,광주 남구 서문대로 566 (송하동),35.1046062,126.8757093
광주광역시,(주)대동주유소,주유소,광주 남구 대남대로 153,35.1335318,126.9082631
광주광역시,(주)온누리주유소,주유소,광주 남구 금화로 407 (월산동),35.14873,126.8950312
광주광역시,효천산업주유소,주유소,광주 남구 서문대로 329 (임암동),35.1069143,126.8680213
광주광역시,마트몰(주)대남로주유소,주유소,광주 남구  대남대로 399 (월산동),35.1496794,126.894755
광주광역시,대원주유소,주유소,광주 남구 대남대로 329 (월산동),35.1510936,126.902089
광주광역시,캡틴월산주유소,주유소,광주 남구 대남대로 336 (월산동),35.1514282,126.9012175
광주광역시,늘푸른주유소,주유소,광주 남구 독립로 69 (백운동),35.1399474,126.9018272
광주광역시,효천주유소,주유소,광주 남구 서문대로 321 (임암동),35.1059614,126.8701339
광주광역시,SK월드컵주유소,주유소,광주 남구 금화로 412 (월산동),35.1481592,126.8952058
광주광역시,미래주유소,주유소,광주 남구 금화로 380 (주월동),35.129978,126.8968602
광주광역시,무지개주유소,주유소,광주 남구 독립로 24 (백운동),35.1356872,126.9018932
광주광역시,대촌(상)주유소,주유소,광주 남구 회재로 206 (지석동),35.0808799,126.8340059
광주광역시,화력주유소,주유소,광주 남구 회재로 338(압촌동),35.0931104,126.8274271
광주광역시,대촌주유소,주유소,광주 남구 고싸움로 169,35.0817811,126.8315565
광주광역시,양촌주유소,주유소,광주 남구 포충로 121 (양촌동),35.0665451,126.7880716
광주광역시,지에스칼텍스㈜ 21세기주유소,주유소,광주 남구 서문대로 697 (진월동),35.121637,126.8981948
광주광역시,(주)대창석유직영 남광주주유소,주유소,광주 남구 서문대로 799 주월동),35.1292132,126.8968709
광주광역시,현대오일뱅크㈜직영 백운셀프주유소,주유소,광주 남구 서문대로 781,35.1292199,126.8974453
광주광역시,송암공단주유소(H),주유소,광주 남구 송암로 49 (송하동),35.1094335,126.8773059
광주광역시,창조주유소,주유소,광주 남구 서문대로 452,35.1067807,126.8834541
광주광역시,국제주유소,주유소,광주 남구 봉선로 50 (주월동),35.1288364,126.9038657
광주광역시,지에스칼텍스㈜ 풍암주유소,주유소,광주 남구 회재로 1208,35.1327564,126.8936243
광주광역시,남선(주)구도일주유소월드컵,주유소,광주 남구 회재로 1190 (주월동),35.1318402,126.89171
광주광역시,지에스칼텍스㈜ 봉선주유소,주유소,광주 남구 봉선2로 30,35.1254811,126.9099219
광주광역시,새롬주유소,주유소,광주 남구 산남로 678 (양과동),35.0785969,126.8650003
광주광역시,공항주유소,주유소,광주 광산구 상무대로 435-2  (신촌동),35.1267933,126.8162155
광주광역시,(유)모우리주유소,주유소,광주 광산구 소촌로 68 (소촌동),35.1505318,126.7938029
광주광역시,우리주유소,주유소,광주 광산구 목련로 225 (운남동),35.1725396,126.8222853
광주광역시,한진주유소,주유소,광주 광산구 송도로 244 (송정동),35.1360034,126.8036528
광주광역시,태평양주유소,주유소,광주 광산구 송도로 92 (황룡동),35.1149765,126.7889987
광주광역시,(주)평동제일주유소,주유소,광주 광산구 동곡로 552 (장록동),35.1345581,126.7741507
광주광역시,알라딘신창,주유소,광주 광산구 북문대로 399,35.1924747,126.8499876
광주광역시,국가대표주유소,주유소,광주 광산구 영광로 3497,35.1601457,126.6894018
광주광역시,천우주유소,주유소,광주 광산구 어등대로 50 (지평동),35.1530153,126.7371227
