NODE_NM,위도,경도
송정시장,35.13823611,126.7975139
송정시장,35.13818611,126.7973306
광주송정역,35.13831944,126.7920389
송정한전,35.14924722,126.7884694
송정한전,35.14934444,126.788225
영광통사거리,35.14051667,126.7951972
영광통사거리,35.14002778,126.795775
영광통,35.14231667,126.7954917
송정초교,35.13259444,126.7955028
송정초교,35.13334444,126.7959528
송정파출소(북),35.14398889,126.8032889
송정파출소(남),35.14323611,126.8035722
송정파출소(북),35.143825,126.8033889
수성,35.18441667,126.6751333
수창초교후문,35.15699167,126.9088417
수창초교후문,35.15675278,126.9087028
수촌,35.25797222,126.8162861
중흥초교,35.16290833,126.9136556
중흥초교,35.16310833,126.9137389
소촌스위트밸리,35.15773333,126.7929222
소촌스위트밸리,35.15787222,126.7928667
광주인력개발원,35.15763056,126.7956139
광주인력개발원,35.15733611,126.7963167
상무시민공원,35.15369,126.838644
상무시민공원,35.153934,126.83901
시민회관,35.14887222,126.9087333
시민회관,35.14890833,126.9084
금호시영아파트,35.13605278,126.8589194
우산시영2단지(서),35.16106667,126.8010611
우산시영2단지(동),35.15880833,126.8024278
우산시영2단지(동),35.15888056,126.8029611
우산시영2단지(서),35.15996944,126.8010472
시청,35.15896667,126.8545417
시청,35.15883889,126.8545333
신가동,35.178825,126.8264806
신가동,35.17908611,126.8255944
신가중,35.18614722,126.8370083
신가중,35.18621944,126.8368722
신당,35.184975,126.7346917
신등,35.19526667,126.7706
신동아아파트,35.22170833,126.8317278
신동아아파트,35.22151667,126.8318139
신봉정,35.19096944,126.7649083
신세계백화점,35.15843889,126.8831722
신세계백화점(북),35.15960833,126.8833083
신세계백화점,35.15849444,126.8829056
신안교,35.17072222,126.8969
신안교,35.17064722,126.8961389
용봉2휴먼시아아파트,35.17220556,126.8975722
용봉2휴먼시아아파트,35.17175556,126.8981611
신안교입구,35.17478056,126.8961222
신안교입구,35.17463611,126.89575
신안동행정복지센터,35.16692222,126.8984889
신안동행정복지센터,35.16714167,126.898175
북광주수협,35.165,126.9019833
신안사거리,35.16543056,126.9042861
신안사거리,35.16564722,126.9040278
반석,35.17885833,127.0221278
소쇄원,35.18256667,127.0119139
가사문학관,35.18716111,127.0043917
충효동환벽당,35.18662222,127.0025972
광주호호수생태원,35.18389167,127.0005389
수리,35.18246667,126.9997528
석제,35.18031667,126.9990583
금곡,35.16975,126.9989222
충장사(북),35.16195833,126.9802306
광곡입구,35.10072205,126.8705703
임정,35.10190783,126.8686416
이동입구,35.09586667,126.8591556
수춘,35.08519444,126.8678917
복수,35.08921944,126.8559056
원산,35.08851667,126.8446778
상칠석,35.07360833,126.8365472
어전,35.05865,126.8353778
광이리,35.05419722,126.8357833
남평교,35.05090278,126.8384833
남평농협,35.04686667,126.8404833
나주축산농협,35.04546111,126.8426639
광남고,35.03850833,126.8421472
광주어망,35.03487222,126.8370028
방축마을,35.03010833,126.8330667
매화동(나주),35.01984444,126.8284833
산제 윗길,35.01434444,126.8243806
국립나주병원,35.00937778,126.82135
도래,34.99768056,126.8209389
행정,35.00321667,126.8215333
자치샘삼거리,35.0613,126.9863528
남계촌,35.0935898,126.9416885
녹동,35.10576944,126.9375972
선교,35.08895556,126.9471694
이십곡리,35.06924722,126.9753528
정수장입구,35.05405278,126.9978722
장성월곡,35.24114167,126.8154028
