학교명,주소,위도,경도
송원여자상업고등학교,광주광역시 남구 송암로 73. 송원여자상업고등학교 (송하동),35.1121625,126.8736836
전남여자상업고등학교,광주광역시 북구 설죽로 433. 전남여자상업고등학교 (삼각동),35.1993747,126.896457
광주자동화설비공업고등학교,광주광역시 광산구 사암로92번길. 136-26 (우산동),35.1528633,126.811383
서진여자고등학교,광주광역시 남구 서문대로742번길 20서진여자고등학교 (주월동),35.1254947,126.9001252
광주세광학교,광주광역시 서구 유덕로 177(덕흥동),35.168121,126.8361691
광주선광학교,광주광역시 광산구 목련로394번길 60-3. 광주선광학교 (신가동),35.1826257,126.8361854
광주선우학교,광주광역시 북구 모룡대길 61(일곡동. 광주선우학교),35.2127116,126.8932468
광주선명학교,광주광역시 남구 서문대로749번마길 2(주월동.선명학교),35.1258834,126.8925704
은혜학교,광주광역시 북구 앰코로 127(오룡동),35.2324528,126.8489161
금호미용예술학교,광주광역시 북구 동운로 167-5(운암동),35.174121,126.8682794
문흥중앙초등학교병설유치원,광주광역시 북구 문산로 17. 61133 (문흥동. 문흥중앙초등학교),35.1839325,126.9210662
운암유치원,광주광역시 북구 서강로 79-10(운암동),35.1882572,126.8745571
엘리트유치원,광주광역시 북구 일곡로49번길 66(일곡동),35.2099695,126.8930358
선일유치원,광주광역시 북구 서강로54번길 50. 단지내 선일유치원 (운암동. 벽산 블루밍 메가씨티),35.1747941,126.8767747
광주계림초등학교병설유치원,광주광역시 동구 중앙로 320(계림동. 계림초등학교),35.1600652,126.9213664
건국유치원,광주광역시 북구 첨단연신로108번길 104. 건국유치원 (신용동),35.2101698,126.8650207
한울초등학교병설유치원,광주광역시 북구 유림로160번길 15(동림동. 한울초등학교),35.1761111,126.8661111
광주문화초등학교병설유치원,광주광역시 북구 군왕로 135(두암동),35.1736446,126.9314492
두암초등학교병설유치원,광주광역시 북구 참판로 130(두암동),35.1696058,126.9340411
광주동초등학교병설유치원,광주광역시 북구 석곡로 527(망월동.광주동초등학교),35.2058302,126.9508232
광주동산초등학교병설유치원,광주광역시 동구 준법로 16. 광주동산초등학교병설유치원 (지산동),35.1488258,126.9351491
태봉초등학교병설유치원,광주광역시 북구 청계로 33. 태봉초등학교병설유치원(용봉동),35.1762658,126.8923149
지한유치원,광주광역시 동구 남계길 38(내남동),35.0930579,126.9391953
광주북초등학교병설유치원,광주광역시 북구 하서로 985병설유치원 (효령동. 광주북초등학교),35.2463498,126.9145289
새미르유치원,광주광역시 북구 임방울대로1042번길 29(신용동. 새미르유치원),35.2095532,126.8704991
광주산수초등학교병설유치원,광주광역시 동구 산수길 28. 광주산수초등학교 병설유치원 (산수동. 산수초등학교),35.1557415,126.9281218
광주서림초등학교병설유치원,광주광역시 북구 서림로 113(임동. 서림초등학교),35.1628236,126.8994021
광주서석초등학교병설유치원,광주광역시 동구 제봉로82번길 26(서석동.서석초등학교),35.1474091,126.9242057
광주수창초등학교병설유치원,광주광역시 북구 금남로 99(북동),35.1568562,126.9066444
광주남초등학교병설유치원,광주광역시 동구 지원로5번길 20. 광주남초등학교병설유치원 (소태동. 광주남초등학교),35.1262498,126.9331932
광주풍향초등학교병설유치원,광주광역시 북구 군왕로51번길 77. 광주풍향초등학교 (두암동),35.167623,126.9277776
광주중흥초등학교병설유치원,광주광역시 북구 경양로197번길 25(중흥동. 중흥초등학교),35.1608015,126.9132826
광주지산초등학교병설유치원,광주광역시 북구 하서로 637(지야동),35.2335558,126.8823325
매곡초등학교병설유치원,광주광역시 북구 초당로 25(매곡동. 매곡초등학교),35.1943862,126.8942871
일곡초등학교병설유치원,광주광역시 북구 설죽로 530. 설죽로 530 (일곡동. 광주일곡초등학교),35.2073182,126.8983733
문정초등학교병설유치원,광주광역시 북구 대천로169번길 7(문흥동. 문정초등학교),35.1890986,126.9214272
광주장원초등학교병설유치원,광주광역시 동구 무등로 533(산수동. 장원초등학교),35.157459,126.9378677
광주학운초등학교병설유치원,광주광역시 동구 의재로 181(운림동. 학운초등학교),35.1332445,126.9470928
광주용봉초등학교병설유치원,광주광역시 북구 서암대로144번길 11(신안동. 광주용봉초등학교)광주용봉초등학교병설유치원,35.169268,126.9007305
광주중앙초등학교병설유치원,광주광역시 동구 제봉로 167(궁동. 광주중앙초등학교),35.1512907,126.9181942
광주효동초등학교병설유치원,광주광역시 북구 서양로 99(중흥동. 광주효동초등학교),35.1694988,126.9123678
광주우산초등학교병설유치원,광주광역시 북구 서방로63번길 67(우산동. 우산초등학교),35.1759057,126.9204276
각화초등학교병설유치원,광주광역시 북구 각화대로39번길 10. (각화동. 각화초등학교병설유치원) (각화동),35.1822157,126.9361404
삼각초등학교병설유치원,광주광역시 북구 송해로 21(삼각동. 삼각초등학교),35.2005793,126.9004944
문산초등학교병설유치원,광주광역시 북구 문산로 66(문흥동. 문산초등학교),35.1871822,126.9252324
문흥초등학교병설유치원,광주광역시 북구 면앙로 19(문흥동. 문흥초등학교),35.1807419,126.9144112
오정초등학교병설유치원,광주광역시 북구 대천로 55(오치동.오정초등학교),35.1855433,126.9119559
정덕유치원,광주광역시 북구 능안로 1(오치동),35.1857196,126.9165435
서일초등학교병설유치원,광주광역시 북구 설죽로 590일곡동. 서일초등학교병설유치원,35.2118455,126.8984288
용두초등학교병설유치원,광주광역시 북구 임방울대로1041번길 25(신용동. 용두초등학교),35.2148633,126.8708481
동림초등학교병설유치원,광주광역시 북구 동림용산로 7(동림동),35.1874273,126.8679083
광주서산초등학교병설유치원,광주광역시 북구 우치로 263(오치동. 광주서산초등학교병설유치원),35.1884595,126.9044288
광주동운초등학교병설유치원,광주광역시 북구 북문대로8번길 21(운암동. 동운초등학교),35.1750441,126.8846532
광주운암초등학교병설유치원,광주광역시 북구 서강로 79-14(운암동. 운암초등학교),35.1805208,126.870886
일신초등학교병설유치원,광주광역시 북구 일곡마을로 187. 일신초등학교 병설유치원 (일곡동),35.2111233,126.8951513
본촌초등학교병설유치원,광주광역시 북구 본촌택지로30번길 22(본촌동. 본촌초등학교),35.2149028,126.8814725
연제초등학교병설유치원,광주광역시 북구 하서로229번길 47(양산동. 연제초등학교),35.1963603,126.8737503
용주초등학교병설유치원,광주광역시 북구 용주로 15(용봉동. 용주초등학교),35.181581,126.8994338
양지초등학교병설유치원,광주광역시 북구 자라봉로63번길 16(양산동),35.2084023,126.881297
일동초등학교병설유치원,광주광역시 북구 일곡택지로 45(일곡동),35.2059616,126.8934877
삼정초등학교병설유치원,광주광역시 북구 밤실로208번길 55(두암동.삼정초등학교),35.1662467,126.9363342
오치초등학교병설유치원,광주광역시 북구 설죽로 290오치초등학교 병설유치원(오치동. 오치초등학교),35.1852203,126.8992353
신용유치원,광주광역시 북구 첨단연신로 232-6.신용유치원(신용동),35.2103175,126.858236
광주양산초등학교병설유치원,광주광역시 북구 연양로 33(양산동. 광주양산초등학교),35.2071789,126.871487
율곡초등학교병설유치원,광주광역시 동구 밤실로 142(산수동. 율곡초등학교 병설유치원),35.16038,126.9359265
동명유치원,광주광역시 동구 동명로20번길 31. 동명유치원 (동명동),35.1501311,126.9266776
두암타운유치원,광주광역시 동구 밤실로 147. 두암타운단지 내 두암타운유치원 (산수동. 두암타운),35.1599078,126.93426
서영대학교부설서영유치원,광주광역시 북구 서강로 1500-742 (운암동. 서영대학교부설서영유치원),35.1757818,126.8692905
무등유치원,광주광역시 동구 학소로 125(학동. 평화맨션),35.1292541,126.9331593
일곡은성유치원,광주광역시 북구 소해로 94일곡은성유치원 (일곡동),35.2130675,126.8967345
소화유치원,광주광역시 동구 제봉로 67(남동.남동천주교회),35.1443817,126.9209561
연화유치원,광주광역시 동구 지산로 60(지산동),35.149052,126.9333775
라예송유치원,광주광역시 북구 면앙로133번길 83-2. 라예송유치원 (문흥동. 라예송유치원),35.1806446,126.9276599
프란치스카유치원,광주광역시 동구 계림로 51-27(계림동.계림동천주교회),35.1591577,126.9230389
하나유치원,광주광역시 북구 용봉택지로13번길 25(용봉동),35.1809916,126.8878659
더블유유치원,광주광역시 북구 서하로 315. 21 (오치동),35.1880501,126.9148711
키즈금강유치원,광주광역시 북구 원삼각길 18키즈금강유치원 (삼각동),35.199375,126.9049084
에이스유치원,광주광역시 북구 임방울대로 1008-7(신용동),35.2126947,126.8677278
경신유치원,광주광역시 북구 금호로40번길 40(용봉동),35.1693675,126.8945721
삼성누리유치원,광주광역시 북구 중문로 84. 15 (우산동),35.1800883,126.9217486
하늘동화유치원,광주광역시 북구 연양로7번길 24-4(연제동),35.2072658,126.8684116
아이림유치원,광주광역시 북구 양산제로 38(연제동),35.2008632,126.8710022
동강대학교부설동강유치원,광주광역시 북구 동문대로 50(두암동. 동강대학.동신중.고.동신여중.고등학교),35.1677123,126.9245941
한나래유치원,광주광역시 북구 연제외촌길 142(연제동. 한나래유치원),35.1972176,126.8695041
아이펀유치원,광주광역시 북구 효열로29번길(양산동)24-3 아이펀유치원,35.2091902,126.8725627
한스유치원,광주광역시 북구 임방울대로1042번길 29(신용동),35.2095532,126.8704991
한빛유치원,광주광역시 북구 양산신촌길 31-1. 한빛 유치원  (양산동),35.198256,126.8741534
키즈캐슬유치원,광주광역시 북구 연양로7번길 49-5. 키즈캐슬유치원 (신용동),35.2082344,126.8677942
푸른숲유치원,광주광역시 북구 일곡로 45-4(일곡동) 푸른숲유치원,35.2080213,126.893496
더하바유치원,광주광역시 북구 일곡로41번길 25(일곡동. 더하바 유치원),35.2087768,126.8918373
신세계유치원,광주광역시 북구 중외길 27-1신세계유치원 (매곡동),35.1893203,126.8936798
무지개몬테소리유치원,광주광역시 북구 호동로 100. 내 무지개몬테소리유치원 (우산동. 현대아파트),35.1801552,126.919122
문화유치원,광주광역시 북구 군왕로93번길 36(두암동),35.1697831,126.9307313
문흥현대유치원,광주광역시 북구 대천로 195(문흥동),35.1912285,126.9230728
부명유치원,광주광역시 북구 거진길41번길 15-10. 부명유치원 (용두동),35.2168722,126.8717923
서호유치원,광주광역시 북구 우치로228번길 52-8. 서호유치원 (오치동. 서호유치원),35.1862931,126.9078452
선정유치원,광주광역시 북구 자라봉로 66(양산동),35.2078876,126.8790329
성덕유치원,광주광역시 북구 북문대로98번길 33(운암동),35.1807377,126.8768664
세라유치원,광주광역시 북구 삼정로 83. 61160 (두암동),35.1694585,126.9371727
