충전소,주소,위도,경도
광주 벽진 수소충전소,광주광역시 서구 늘재로 589 ,35.1296782,126.8310274
광주임암 수소충전소,"광주광역시 남구 김치로 60, 광주김치타운 ",35.1089683,126.8665732
진곡 수소충전소,광주광역시 광산구 진곡산단중앙로 55 ,35.1940255,126.7883992
동곡 수소충전소,광주광역시 광산구 동곡로 324 ,35.1113084,126.7798403
