시군구,도로명,주소,사고건수,사망자수,중상자수,경상자수,부상신고자수,위도,경도
경남 창원시,충혼로,경남 창원시 충혼로,4,0,0,4,0,35.230487,128.6587795
경남 창원시,충혼로,경남 창원시 충혼로,2,1,2,1,0,35.230487,128.6587795
경남 창원시,상남로,경남 창원시 상남로,6,0,4,4,0,35.2207926,128.6804227
경남 창원시,용지로,경남 창원시 용지로,10,0,7,3,0,35.2224237,128.6757997
경남 창원시,태복산로,경남 창원시 태복산로,8,0,0,9,0,35.2537196,128.6414699
경남 창원시,봉곡로,경남 창원시 봉곡로,9,0,4,7,2,35.2483966,128.667632
경남 창원시,도계로,경남 창원시 도계로,12,0,4,7,2,35.2585253,128.6362378
경남 창원시,명서로,경남 창원시 명서로,6,0,2,8,0,35.2497328,128.6468186
경남 창원시,명지로,경남 창원시 명지로,6,0,1,8,1,35.2496443,128.6450868
경남 창원시,차상로,경남 창원시 차상로,5,0,0,8,0,35.2360616,128.634991
경남 창원시,우곡로,경남 창원시 우곡로,7,0,1,8,0,35.2466914,128.6391843
경남 창원시,대원로,경남 창원시 대원로,4,0,1,4,0,35.2334802,128.6528044
경남 창원시,지귀로,경남 창원시 지귀로,14,1,3,13,2,35.246343,128.6536599
경남 창원시,사림로,경남 창원시 사림로,5,0,2,5,0,35.2450516,128.6805013
경남 창원시,신월로,경남 창원시 신월로,3,0,0,4,0,35.2284539,128.6923314
경남 창원시,정렬대로,경남 창원시 정렬대로,21,0,3,33,0,35.3168235,128.6149801
경남 창원시,창이대로,경남 창원시 창이대로,49,1,12,48,3,35.2426409,128.6479522
경남 창원시,창이대로,경남 창원시 창이대로,6,0,2,7,0,35.2426409,128.6479522
경남 창원시,무역로,경남 창원시 무역로,11,1,9,9,3,35.2318159,128.63816
경남 창원시,진산대로355번길,경남 창원시 진산대로355번길,2,0,0,2,0,35.332844,128.7080665
경남 창원시,동전로,경남 창원시 동전로,5,0,3,2,0,35.3068249,128.5997749
경남 창원시,감계로,경남 창원시 감계로,6,0,2,6,0,35.2972897,128.5885464
경남 창원시,단계로,경남 창원시 단계로,1,0,0,1,0,35.4606,128.2132
경남 창원시,대산북로,경남 창원시 대산북로,5,0,3,6,0,35.3483742,128.7265983
경남 창원시,봉강가술로,경남 창원시 봉강가술로,1,0,1,0,0,35.3360851,128.7009572
경남 창원시,자여로,경남 창원시 자여로,3,0,0,3,0,35.2702899,128.7031816
경남 창원시,주남로,경남 창원시 주남로,9,1,2,7,0,35.3239553,128.7039339
경남 창원시,동읍로,경남 창원시 동읍로,12,1,3,16,0,35.3129409,128.6682618
경남 창원시,가술산남로,경남 창원시 가술산남로,1,0,0,1,0,35.3244725,128.6935559
경남 창원시,백월로,경남 창원시 백월로,3,0,1,6,0,35.3069561,128.6507307
경남 창원시,신방로,경남 창원시 신방로,5,0,4,3,0,35.2846842,128.6886608
경남 창원시,용잠로,경남 창원시 용잠로,2,0,0,2,0,35.2791377,128.6873038
경남 창원시,하천로,경남 창원시 하천로,1,1,0,0,0,35.3692456,128.6040694
경남 창원시,신촌본포로,경남 창원시 신촌본포로,3,0,0,3,0,35.3490763,128.6219784
경남 창원시,온천로,경남 창원시 온천로,3,0,1,1,1,35.3578601,128.5932991
경남 창원시,유등로,경남 창원시 유등로,1,0,0,2,0,35.3385218,128.7396882
경남 창원시,낙동로,경남 창원시 낙동로,2,0,4,2,0,35.4606,128.2132
경남 창원시,무동로,경남 창원시 무동로,5,0,1,5,0,35.3184577,128.6051989
경남 창원시,진산대로,경남 창원시 진산대로,8,0,3,8,0,35.3486397,128.7124906
경남 창원시,원이대로,경남 창원시 원이대로,30,0,12,26,0,35.2236469,128.6846402
경남 창원시,원이대로,경남 창원시 원이대로,49,0,13,51,0,35.2236469,128.6846402
경남 창원시,의창대로,경남 창원시 의창대로,65,2,21,75,1,35.2613533,128.6192314
경남 창원시,의창대로,경남 창원시 의창대로,2,0,2,4,0,35.2613533,128.6192314
경남 창원시,갈전로99번길,경남 창원시 갈전로99번길,1,0,1,0,0,35.369714,128.6794969
경남 창원시,거산길,경남 창원시 거산길,1,0,0,2,0,35.3182518,128.6109034
경남 창원시,의창대로54번길,경남 창원시 의창대로54번길,1,0,0,1,0,35.2554963,128.6074607
경남 창원시,대봉로,경남 창원시 대봉로,2,0,1,1,0,35.2550646,128.6653245
경남 창원시,천주로,경남 창원시 천주로,6,1,5,3,0,35.3560605,128.6090069
경남 창원시,창원대로397번길,경남 창원시 창원대로397번길,1,0,0,1,0,35.2355541,128.6427533
경남 창원시,차상로50번길,경남 창원시 차상로50번길,1,0,1,1,0,35.2290797,128.6359101
경남 창원시,동전로,경남 창원시 동전로,1,0,0,1,0,35.3068249,128.5997749
경남 창원시,의창대로491번길,경남 창원시 의창대로491번길,1,0,0,1,0,35.2786975,128.6459355
경남 창원시,천주로1150번길,경남 창원시 천주로1150번길,1,0,0,1,0,35.3519115,128.6100271
경남 창원시,천주로1150번길,경남 창원시 천주로1150번길,1,0,0,2,0,35.3519115,128.6100271
경남 창원시,진산대로,경남 창원시 진산대로,1,0,0,1,0,35.3486397,128.7124906
경남 창원시,의창대로,경남 창원시 의창대로,1,0,1,0,0,35.2613533,128.6192314
경남 창원시,죽전로74번길,경남 창원시 죽전로74번길,1,0,0,2,0,35.2452607,128.6260445
경남 창원시,창원대로18번길,경남 창원시 창원대로18번길,1,0,0,4,0,35.2527327,128.6051896
경남 창원시,의창대로238번길,경남 창원시 의창대로238번길,2,0,1,1,0,35.2604044,128.6237758
경남 창원시,봉곡로68번길,경남 창원시 봉곡로68번길,1,0,0,2,0,35.2483761,128.6667635
경남 창원시,차룡로48번길,경남 창원시 차룡로48번길,1,0,0,1,0,35.2420211,128.6322191
경남 창원시,지귀로73번길,경남 창원시 지귀로73번길,1,0,1,0,0,35.2479649,128.655089
경남 창원시,반계로,경남 창원시 반계로,1,1,0,0,0,35.2518789,128.6151122
경남 창원시,서상로12번길,경남 창원시 서상로12번길,1,0,0,1,0,35.2622125,128.6185883
경남 창원시,밀양대로,경남 창원시 밀양대로,2,0,0,5,0,35.4587115,128.7582896
경남 창원시,초하로,경남 창원시 초하로,3,1,2,2,0,35.3853592,128.6833919
경남 창원시,신사로,경남 창원시 신사로,2,0,1,1,0,35.2249639,128.6901274
경남 창원시,창원대로,경남 창원시 창원대로,34,1,6,34,1,35.2029013,128.699647
경남 창원시,창원대로,경남 창원시 창원대로,1,0,0,1,0,35.2029013,128.699647
경남 창원시,중앙대로,경남 창원시 중앙대로,2,0,2,0,0,35.2317891,128.6863658
경남 창원시,외동반림로,경남 창원시 외동반림로,4,0,0,6,0,35.2262962,128.6731132
경남 창원시,외동반림로,경남 창원시 외동반림로,1,0,0,1,0,35.2262962,128.6731132
경남 창원시,중앙대로113번길,경남 창원시 중앙대로113번길,1,0,0,1,0,35.2317891,128.6863658
경남 창원시,마디미로4번길,경남 창원시 마디미로4번길,2,0,0,2,0,35.223935,128.6849695
경남 창원시,공단로474번길,경남 창원시 공단로474번길,2,0,2,4,0,35.2009335,128.6703177
경남 창원시,동산로,경남 창원시 동산로,8,0,3,5,2,35.2184076,128.6903335
경남 창원시,동산로,경남 창원시 동산로,10,0,6,4,1,35.2184076,128.6903335
경남 창원시,외동반림로74번길,경남 창원시 외동반림로74번길,2,0,1,1,0,35.2282635,128.6749433
경남 창원시,토월로43번길,경남 창원시 토월로43번길,1,0,1,0,0,35.2163243,128.6798941
경남 창원시,가음정로,경남 창원시 가음정로,4,0,1,5,0,35.2057389,128.6966485
경남 창원시,상남로58번길,경남 창원시 상남로58번길,4,0,1,5,0,35.2207926,128.6804227
경남 창원시,마디미로,경남 창원시 마디미로,10,0,3,10,0,35.2206213,128.6839387
경남 창원시,동산로73번길,경남 창원시 동산로73번길,3,0,3,0,0,35.217637,128.6850003
경남 창원시,귀산로,경남 창원시 귀산로,1,0,1,0,0,35.1633375,128.6133878
경남 창원시,동산로48번길,경남 창원시 동산로48번길,1,0,1,0,0,35.2146605,128.6888237
경남 창원시,불모산로,경남 창원시 불모산로,1,0,0,1,0,35.1625226,128.7414788
경남 창원시,정동로,경남 창원시 정동로,5,0,2,6,0,35.1953228,128.6876678
경남 창원시,마디미로22번길,경남 창원시 마디미로22번길,2,0,0,2,0,35.2240881,128.6836628
경남 창원시,공단로473번길,경남 창원시 공단로473번길,2,0,1,1,0,35.204772,128.6710113
경남 창원시,마디미로43번길,경남 창원시 마디미로43번길,7,0,0,9,0,35.2206213,128.6839387
경남 창원시,마디미로37번길,경남 창원시 마디미로37번길,7,0,1,9,1,35.2206213,128.6839387
경남 창원시,마디미동로,경남 창원시 마디미동로,7,0,1,6,0,35.2198804,128.6840852
경남 창원시,곰절길,경남 창원시 곰절길,1,0,0,1,0,35.1873395,128.7068173
경남 창원시,중앙대로84번길,경남 창원시 중앙대로84번길,2,0,0,3,0,35.2221225,128.6797024
경남 창원시,웅남로709번길,경남 창원시 웅남로709번길,1,0,0,1,0,35.1963788,128.6912603
경남 창원시,창원대로1209번길,경남 창원시 창원대로1209번길,2,0,3,1,0,35.2029013,128.699647
경남 창원시,삼정자로52번길,경남 창원시 삼정자로52번길,1,0,0,1,0,35.2012397,128.7119805
경남 창원시,삼정자로63번길,경남 창원시 삼정자로63번길,1,0,0,1,0,35.2049185,128.7115158
경남 창원시,외리로14번길,경남 창원시 외리로14번길,1,0,1,1,0,35.1995935,128.7086485
경남 창원시,창이대로901번길,경남 창원시 창이대로901번길,1,0,0,1,0,35.2049185,128.7115158
경남 창원시,창이대로899번길,경남 창원시 창이대로899번길,1,0,0,1,0,35.2055673,128.7087088
경남 창원시,불모산로62번길,경남 창원시 불모산로62번길,1,0,2,0,0,35.1625226,128.7414788
경남 창원시,창이대로603번길,경남 창원시 창이대로603번길,2,0,1,3,0,35.2224095,128.6982585
경남 창원시,원이대로473번길,경남 창원시 원이대로473번길,1,0,0,1,0,35.235457,128.669539
경남 창원시,원이대로566번길,경남 창원시 원이대로566번길,1,0,0,1,0,35.2265453,128.6747816
경남 창원시,원이대로580번길,경남 창원시 원이대로580번길,2,0,0,2,0,35.2273006,128.6776979
경남 창원시,용지로113번길,경남 창원시 용지로113번길,1,0,1,0,0,35.2274918,128.677527
경남 창원시,단정로76번길,경남 창원시 단정로76번길,1,0,1,0,0,35.2149172,128.6890831
경남 창원시,창이대로690번길,경남 창원시 창이대로690번길,1,0,1,0,0,35.221285,128.6984093
경남 창원시,창이대로692번길,경남 창원시 창이대로692번길,3,0,1,4,0,35.2213677,128.69943
경남 창원시,원이대로883번길,경남 창원시 원이대로883번길,1,0,0,3,0,35.2073221,128.6967317
경남 창원시,원이대로863번길,경남 창원시 원이대로863번길,2,0,2,0,0,35.2085164,128.6974261
경남 창원시,원이대로773번길,경남 창원시 원이대로773번길,2,0,1,1,0,35.2187212,128.6965681
경남 창원시,마디미로63번길,경남 창원시 마디미로63번길,3,0,1,2,0,35.2191899,128.6826404
경남 창원시,마디미로64번길,경남 창원시 마디미로64번길,1,0,1,1,0,35.2192905,128.6812682
경남 창원시,중앙대로83번길,경남 창원시 중앙대로83번길,6,0,7,4,0,35.2233754,128.6774553
경남 창원시,중앙대로21번길,경남 창원시 중앙대로21번길,2,0,2,0,0,35.218521,128.6736447
경남 창원시,중앙대로22번길,경남 창원시 중앙대로22번길,2,0,2,3,0,35.2317891,128.6863658
경남 창원시,마디미로21번길,경남 창원시 마디미로21번길,4,0,1,3,0,35.223935,128.6849695
경남 창원시,동산로65번길,경남 창원시 동산로65번길,1,0,1,0,0,35.2162416,128.683916
경남 창원시,공단로271번길,경남 창원시 공단로271번길,1,0,1,0,0,35.2158139,128.6539891
경남 창원시,월림로,경남 창원시 월림로,1,1,0,0,0,35.2103207,128.6405425
경남 창원시,창이대로689번길,경남 창원시 창이대로689번길,1,0,0,1,0,35.2231728,128.7011735
경남 창원시,중앙대로114번길,경남 창원시 중앙대로114번길,2,0,1,1,0,35.2239986,128.6812538
경남 창원시,토월로,경남 창원시 토월로,7,0,3,4,0,35.225794,128.7038292
경남 창원시,마디미서로,경남 창원시 마디미서로,4,0,3,2,0,35.2198202,128.6800424
경남 창원시,가음로,경남 창원시 가음로,2,0,1,1,0,35.2072243,128.7047724
경남 창원시,가양로,경남 창원시 가양로,4,0,2,2,0,35.2097907,128.7076445
경남 창원시,대암로,경남 창원시 대암로,12,0,3,10,0,35.2075538,128.7114322
경남 창원시,대정로,경남 창원시 대정로,6,0,1,9,0,35.2062389,128.6984873
경남 창원시,두산볼보로,경남 창원시 두산볼보로,1,0,0,2,0,35.1797958,128.6031301
경남 창원시,공단로,경남 창원시 공단로,25,0,11,20,0,35.204772,128.6710113
경남 창원시,봉양로,경남 창원시 봉양로,9,1,2,16,0,35.2199032,128.5964124
경남 창원시,신촌로,경남 창원시 신촌로,4,0,0,5,0,35.2022522,128.628583
경남 창원시,적현로,경남 창원시 적현로,4,0,2,4,0,35.2071011,128.6044637
경남 창원시,남면로,경남 창원시 남면로,1,0,0,1,0,35.2235866,128.6415864
경남 창원시,신사로,경남 창원시 신사로,5,0,1,6,1,35.2249639,128.6901274
경남 창원시,연덕로,경남 창원시 연덕로,9,0,1,12,0,35.2076642,128.6542928
경남 창원시,완암로,경남 창원시 완암로,3,0,3,2,0,35.2079899,128.663275
경남 창원시,창곡로,경남 창원시 창곡로,3,0,0,3,0,35.2088542,128.6480607
경남 창원시,단정로,경남 창원시 단정로,6,0,3,3,0,35.2149172,128.6890831
경남 창원시,성산패총로,경남 창원시 성산패총로,2,0,1,1,0,35.1966035,128.6758615
경남 창원시,창원천로,경남 창원시 창원천로,5,0,1,4,0,35.2442943,128.669694
경남 창원시,창원천로,경남 창원시 창원천로,4,0,0,5,0,35.2442943,128.669694
경남 창원시,반송로,경남 창원시 반송로,2,0,2,0,0,35.2396264,128.666459
경남 창원시,반송로,경남 창원시 반송로,8,0,4,5,0,35.2396264,128.666459
경남 창원시,반지로,경남 창원시 반지로,1,0,0,1,0,35.2405367,128.6620885
경남 창원시,외동반림로,경남 창원시 외동반림로,9,0,8,6,0,35.2262962,128.6731132
경남 창원시,외동반림로,경남 창원시 외동반림로,1,0,0,1,0,35.2262962,128.6731132
경남 창원시,외리로,경남 창원시 외리로,3,0,1,2,0,35.2017043,128.7114023
경남 창원시,삼정자로,경남 창원시 삼정자로,1,0,0,2,0,35.1990147,128.7104577
경남 창원시,성주로,경남 창원시 성주로,5,0,2,8,0,35.1970442,128.6967136
경남 창원시,삼귀로,경남 창원시 삼귀로,2,0,1,1,0,35.1623171,128.605287
경남 창원시,창원대로,경남 창원시 창원대로,57,1,25,55,0,35.2029013,128.699647
경남 창원시,중앙대로,경남 창원시 중앙대로,18,0,8,15,0,35.2317891,128.6863658
경남 창원시,진해대로,경남 창원시 진해대로,1,0,1,0,0,35.1279791,128.7449228
경남 창원시,남해안대로,경남 창원시 남해안대로,1,0,0,2,0,35.1729237,128.6179006
경남 창원시,남해안대로,경남 창원시 남해안대로,7,1,7,7,0,35.1729237,128.6179006
경남 창원시,삼동로,경남 창원시 삼동로,5,0,2,6,0,35.2216775,128.654624
경남 창원시,삼동로,경남 창원시 삼동로,1,0,0,2,0,35.2216775,128.654624
경남 창원시,웅남로,경남 창원시 웅남로,6,0,3,5,0,35.2104771,128.6690373
경남 창원시,외동반림로,경남 창원시 외동반림로,1,0,0,1,0,35.2262962,128.6731132
경남 창원시,마디미로31번길,경남 창원시 마디미로31번길,2,0,0,2,0,35.2210227,128.6846847
경남 창원시,마디미로27번길,경남 창원시 마디미로27번길,2,0,0,1,1,35.221629,128.6845777
경남 창원시,마디미로74번길,경남 창원시 마디미로74번길,1,0,0,1,0,35.2185307,128.68094
경남 창원시,마디미로38번길,경남 창원시 마디미로38번길,5,0,2,5,0,35.2216596,128.682347
경남 창원시,가음정로43번길,경남 창원시 가음정로43번길,1,0,1,0,0,35.2084041,128.690962
경남 창원시,공단로103번길,경남 창원시 공단로103번길,2,0,2,0,0,35.2162631,128.6405658
경남 창원시,창이대로881번길,경남 창원시 창이대로881번길,1,0,0,1,0,35.2071834,128.7080085
경남 창원시,안민고개길,경남 창원시 안민고개길,1,0,1,0,0,35.161212,128.6826314
경남 창원시,원이대로682번길,경남 창원시 원이대로682번길,4,0,1,4,0,35.2215913,128.6865439
경남 창원시,두대로,경남 창원시 두대로,1,0,0,4,0,35.2323992,128.6505075
경남 창원시,충혼로,경남 창원시 충혼로,3,0,1,2,0,35.230487,128.6587795
경남 창원시,충혼로,경남 창원시 충혼로,3,1,1,3,0,35.230487,128.6587795
경남 창원시,상남로,경남 창원시 상남로,18,1,9,8,2,35.2207926,128.6804227
경남 창원시,용지로,경남 창원시 용지로,12,0,5,7,1,35.2224237,128.6757997
경남 창원시,창이대로,경남 창원시 창이대로,18,1,13,12,1,35.2426409,128.6479522
경남 창원시,해원로,경남 창원시 해원로,4,0,1,5,0,35.1536716,128.6974527
경남 창원시,해원로,경남 창원시 해원로,1,0,0,1,0,35.1536716,128.6974527
경남 창원시,해원로,경남 창원시 해원로,7,0,2,10,0,35.1536716,128.6974527
경남 창원시,신서촌1길,경남 창원시 신서촌1길,1,0,1,0,0,35.3315221,128.4121644
경남 창원시,신서촌2길,경남 창원시 신서촌2길,1,0,0,3,0,35.1188942,128.4874003
경남 창원시,신서촌로,경남 창원시 신서촌로,1,0,1,1,0,35.117489,128.4853276
경남 창원시,신성산로,경남 창원시 신성산로,1,0,1,0,0,35.1169531,128.4919416
경남 창원시,팔의사로,경남 창원시 팔의사로,2,0,1,0,1,35.120455,128.3924026
경남 창원시,회진로,경남 창원시 회진로,1,0,0,2,0,35.0801468,128.4657724
경남 창원시,옥수길,경남 창원시 옥수길,1,0,0,3,0,35.103069,128.3915428
경남 창원시,학동로,경남 창원시 학동로,3,0,0,2,2,35.1407606,128.4548446
경남 창원시,진북신촌로,경남 창원시 진북신촌로,1,0,0,1,0,35.1359873,128.4778544
