지역,상호,타입,주소,위도,경도
경상남도,동부1,주유소,경남 창원시 진해구 진해대로 855 (석동),35.162215,128.7018743
경상남도,동부2,주유소,경남 창원시 진해구 진해대로 732,35.1279791,128.7449228
경상남도,장복주유소,주유소,경남 창원시 진해구 진해대로 650 (경화동),35.15646,128.6846614
경상남도,보문self주유소,주유소,경남 창원시 마산회원구 삼호로 267 (회성동),35.2320133,128.5654947
경상남도,광신석유(주)직영 구암주유소,주유소,경남 창원시 마산회원구 3.15대로 882,35.2206349,128.5795296
경상남도,대양석유(주)아시아주유소,주유소,경남 창원시 마산회원구 북성로 443 (두척동),35.2359424,128.5494857
경상남도,두바이주유소,주유소,경남 창원시 마산회원구 봉양로 151 (봉암동),35.2184503,128.60311
경상남도,국제주유소,주유소,경남 창원시 마산회원구 북성로 163 (회원동),35.221846,128.570799
경상남도,금성주유소,주유소,경남 창원시 마산합포구 3.15대로 89,35.1969107,128.5678853
경상남도,봉암다리주유소,주유소,경남 창원시 마산회원구 봉양로 270 (봉암동),35.2142352,128.6151401
경상남도,늘푸른주유소,주유소,경남 창원시 성산구 진해대로 52,35.1861786,128.6378021
경상남도,상남셀프주유소,주유소,경남 창원시 성산구 마디미로 74번길 14,35.2185307,128.68094
경상남도,적석산주유소,주유소,경남 창원시 마산합포구 진전면 남해안대로 4472,35.0997867,128.4130375
경상남도,금창주유소,주유소,경남 창원시 진해구 진해대로 390,35.1279791,128.7449228
경상남도,(주)동백에너비스 아바타주유소,주유소,경남 창원시 마산합포구 해안대로 131 (월남동1가),35.1862699,128.564085
경상남도,두바이주유소,주유소,경남 창원시 마산합포구 진동면 오산3길 125,35.144538,128.5087064
경상남도,새천년주유소,주유소,경남 창원시 마산합포구 진동면 남해안대로 5422,35.1440713,128.5101241
경상남도,마산주유소(SK),주유소,경남 창원시 마산회원구 북성로 522,35.2390167,128.5417759
경상남도,경남주유소,주유소,경남 창원시 마산합포구 해안대로 304,35.19954,128.5744723
경상남도,웅동주유소,주유소,경남 창원시 진해구 웅동로 86 (마천동),35.1237833,128.7854773
경상남도,성운주유소,주유소,경남 창원시 마산합포구 천하장사로 44,35.2109,128.569513
경상남도,(주)온누리주유소,주유소,경남 창원시 의창구 무역로581번길 2 (사화동),35.2300847,128.6408535
경상남도,중리제일주유소,주유소,경남 창원시 마산회원구 내서읍 함마대로 2843,35.2476529,128.5221401
경상남도,지에스칼텍스㈜ 신진주유소,주유소,경남 창원시 마산회원구 3.15대로 948,35.2207275,128.579688
경상남도,지에스칼텍스㈜ 판도라주유소,주유소,경남 창원시 마산회원구 무역로 163,35.2118671,128.6040608
경상남도,광신직영(두대셀프),주유소,경남 창원시 의창구 남면로 3,35.2316509,128.6443429
경상남도,현대주유소,주유소,경남 창원시 의창구  의안로 1,35.2617846,128.6235715
경상남도,동성주유소,주유소,경남 창원시 의창구 사화로 306 (팔용동),35.2412122,128.6346002
경상남도,동남주유소,주유소,경남 창원시 마산회원구 무역로 129,35.2114155,128.6006163
경상남도,백마주유소,주유소,경남 창원시 마산회원구 내서읍 중리공단로 114,35.2411487,128.5102077
경상남도,공단주유소,주유소,경남 창원시 성산구 삼동로 130 (내동),35.2250326,128.6564458
경상남도,토월주유소,주유소,경남 창원시 의창구 신사로45번길 25 (신월동),35.2270183,128.6919118
경상남도,CJ대한통운㈜ 오동동셀프주유소,주유소,경남 창원시 마산합포구 해안대로 405 (오동동),35.2044622,128.5810261
경상남도,남광석유직영 유남주유소,주유소,경남 창원시 의창구 창원대로 314,35.2380624,128.6337945
경상남도,동강주유소,주유소,경남 창원시 마산합포구 가포로 628 (덕동동),35.1393362,128.5755327
경상남도,지에스칼텍스㈜ 마산월드주유소,주유소,경남 창원시 마산합포구 해안대로 390,35.204252,128.5817594
경상남도,웰빙주유소,주유소,경남 창원시 의창구 평산로 108 (팔용동),35.2525753,128.6201856
경상남도,지에스칼텍스(주)정일주유소,주유소,경남 창원시 의창구 창원대로18번길 6-8 (팔용동),35.2538999,128.6062175
경상남도,웃음주유소,주유소,경남 창원시 마산합포구 3.15대로 294,35.1969107,128.5678853
경상남도,지에스칼텍스㈜ 감동주유소,주유소,경남 창원시 성산구 가음로 90,35.20516,128.7030317
경상남도,남창원농협주유소,주유소,경남 창원시 성산구 가음로92번길 5 (가음동),35.2045429,128.7015304
경상남도,해안주유소,주유소,경남 창원시 진해구 가락대로 259,35.1067066,128.8403643
경상남도,제우스주유소,주유소,경남 창원시 마산합포구 현동로 20 (우산동),35.1529793,128.5516845
경상남도,모암주유소,주유소,경남 창원시 의창구 동읍 동읍로 195,35.2923554,128.6751745
경상남도,완월주유소,주유소,경남 창원시 마산합포구 자산솔밭로 30 (완월동),35.2003646,128.5600665
경상남도,웅천농협주유소,주유소,경남 창원시 진해구 웅천서로 38 (남문동),35.1086685,128.7463884
경상남도,광신석유(주)직영 양덕주유소,주유소,경남 창원시 마산회원구  삼호로 119 (양덕동),35.2249698,128.579017
경상남도,동방석유(주)직영 불모1주유소,주유소,경상남도 창원시 성산구  창원대로 1298 (성주동),35.1906755,128.7239478
경상남도,보배산주유소,주유소,경남 창원시 진해구 진해대로 2170,35.1279791,128.7449228
경상남도,영광주유소,주유소,경남 창원시 마산합포구 무학로 210,35.1896028,128.5557147
경상남도,동방석유(주) 불모2주유소,주유소,경남 창원시 성산구 창원대로 1302,35.1905607,128.7243103
경상남도,합포주유소,주유소,경남 창원시 마산합포구 북성로 53 (상남동),35.2120006,128.5715363
경상남도,진성주유소,주유소,경남 창원시 마산회원구 내서읍 함마대로 2878,35.2454324,128.5253376
경상남도,금강주유소,주유소,경남 창원시 마산합포구 허당로 23 (상남동),35.2108924,128.5784514
경상남도,마대주유소,주유소,경남 창원시 마산회원구 내서읍 함마대로 2506,35.2624165,128.4963921
경상남도,광신석유(주)직영 진해대로주유소,주유소,경남 창원시 진해구 진해대로 2120 (두동),35.1243486,128.807117
경상남도,대양석유(주)그린주유소,주유소,경남 창원시 진해구 여좌로 38 (여좌동),35.1560025,128.6648094
경상남도,고속주유소,주유소,경남 창원시 마산회원구 삼호로 274,35.2328475,128.565027
경상남도,지에스칼텍스(주)천진셀프주유소,주유소,경남 창원시 의창구 의창대로 396,35.2613533,128.6192314
경상남도,지에스칼텍스(주)아바타주유소,주유소,경남 창원시 의창구 무역로 467,35.2218011,128.6330848
경상남도,만남주유소,주유소,경남 창원시 마산회원구 내서읍 경남대로 783,35.2310517,128.5045003
경상남도,태양주유소,주유소,경남 창원시 마산회원구 삼호로 159 (양덕동),35.2273246,128.5759193
경상남도,현대오일뱅크㈜직영 신상남주유소,주유소,경남 창원시 성산구 동산로54번길 2 (상남동),35.214171,128.6864438
경상남도,내서IC주유소,주유소,경남 창원시 마산회원구 내서읍 광려천서로 193,35.2569659,128.517838
경상남도,공단로주유소,주유소,경남 창원시 마산합포구 진북면 진북산업로 240,35.1373202,128.4851914
경상남도,우리주유소,주유소,경남 창원시 의창구 동읍 의창대로 741,35.2738836,128.672814
경상남도,초원제2주유소,주유소,경남 창원시 의창구 대산면 진산대로 636,35.3568517,128.7101271
경상남도,(주)청조에너지 삼성주유소,주유소,경남 창원시 진해구 태평로 56 (태평동),35.1452906,128.665233
경상남도,삼영에너지(주),주유소,경남 창원시 의창구 대산면 진산대로 418,35.336952,128.7093161
경상남도,경화주유소,주유소,경남 창원시 진해구 충장로 315 (경화동),35.1546287,128.6850752
경상남도,금강산주유소,주유소,경남 창원시 마산회원구 금강로 204,35.2480388,128.5892672
경상남도,희망주유소,주유소,경남 창원시 마산회원구 봉양로 179 (봉암동),35.2177126,128.6062427
경상남도,마진주유소,주유소,경남 창원시 진해구 충장로 269 (경화동),35.1546774,128.6879369
경상남도,경성주유소,주유소,경남 창원시 마산합포구 밤밭고개로 157 (우산동),35.1585242,128.5488527
경상남도,남송주유소,주유소,경남 창원시 진해구 진해대로 2455 (용원동),35.1091336,128.817681
경상남도,(주)봉림주유소,주유소,경남 창원시 의창구 사림로 57 (사림동),35.2488525,128.680273
경상남도,현대오일뱅크㈜직영 극동셀프주유소,주유소,경남 창원시 마산회원구 삼호로 258,35.2323301,128.5663802
경상남도,정목에너지(주)오페주유소,주유소,경남 창원시 의창구 사화로 252 (팔용동),35.2490038,128.6233159
경상남도,광신석유(주)직영 호원주유소,주유소,경남 창원시 마산회원구 내서읍 호원로 415,35.2679825,128.5302115
경상남도,중리공단주유소,주유소,경남 창원시 마산회원구 내서읍 광려천남로 1-6,35.250342,128.5153674
경상남도,신성주유소,주유소,경남 창원시 의창구 대산면 대산북로 663,35.3626,128.7077952
경상남도,대호주유소,주유소,경남 창원시 진해구 안골로 242 (안골동),35.0953925,128.8022388
경상남도,케이티엑스주유소,주유소,경남 창원시 의창구 의창대로 51-3 (소계동),35.2561913,128.6062016
경상남도,현대오일뱅크㈜직영 해안셀프주유소,주유소,경남 창원시 마산합포구 해안대로 249,35.1965412,128.5698412
