학교명,주소,위도,경도
진해냉천초등학교병설유치원,경상남도 창원시 진해구 냉천로 205(자은동),35.1522967,128.7090933
감계초등학교병설유치원,경상남도 창원시 의창구 북면 감계로140번길 51(북면),35.2972897,128.5885464
진해신항초등학교병설유치원,경상남도 창원시 진해구 신항동로 158. 진해신항초등학교 (용원동),35.089023,128.810752
하늘땅유치원,경상남도 창원시 의창구 북면 무동로195번길 23-13. 하늘땅유치원 (북면),35.3184577,128.6051989
하늘빛유치원,경상남도 창원시 성산구 동산로 115. 유치원 제B동 (상남동. 대동아파트),35.2189019,128.6895637
현동세종유치원,경상남도 창원시 마산합포구 현동5길 31. 현동세종유치원 (현동),35.1401325,128.5590842
지예슬유치원,경상남도 창원시 마산회원구 회성동5길 6. 지예슬유치원 (회성동),35.2326966,128.5653127
한사랑유치원,경상남도 창원시 마산합포구 월영마을로 42(월영동),35.1709038,128.5572737
하늘숲유치원,경상남도 창원시 진해구 진해대로979번길 33-2(자은동),35.1409131,128.7104125
삼학사금강유치원,경상남도 창원시 마산회원구 무학로 559(회원동.삼학사),35.2178607,128.5603657
감천초등학교병설유치원,경상남도 창원시 마산회원구 내서읍 감천로 53(내서읍. 감천초등학교),35.2070132,128.5151654
교동초등학교병설유치원,경상남도 창원시 마산회원구 무학로 589(회원동. 마산교동초등학교),35.221318,128.5623828
경화초등학교병설유치원,경상남도 창원시 진해구 경화로38번길 5(경화동. 경화초등학교),35.1575616,128.6868026
교방초등학교병설유치원,경상남도 창원시 마산합포구 교방동1길 63(교방동. 교방초등학교),35.2135134,128.5650217
남정초등학교병설유치원,경상남도 창원시 성산구 원이대로878번길 30. 11 (가음동),35.2099462,128.6927272
진해남산초등학교병설유치원,경남 창원시 진해구 태평로37번길 17(제황산동. 진해남산초등학교),35.147884,128.662681
구암초등학교병설유치원,경상남도 창원시 마산회원구 구암북19길 153(구암동. 구암초등학교),35.2581475,128.5943233
구산초등학교구서분교장병설유치원,경상남도 창원시 마산합포구 구산면 해양관광로 678. 739 (구산면),35.0971879,128.5578294
내동초등학교병설유치원,경상남도 창원시 성산구 두대로 185(중앙동. 내동초등학교),35.2259146,128.6624112
대암초등학교병설유치원,경상남도 창원시 성산구 창이대로899번길 23(대방동. 대암초등학교),35.205867,128.709421
성원유치원,경상남도 창원시 마산합포구 교방남1길 34(교방동),35.2100467,128.5653193
대산초등학교병설유치원,경상남도 창원시 의창구 대산면 진산대로 442-7. 대산초병설유치원 (대산면. 대산초등학교),35.3400899,128.7105173
대야초등학교병설유치원,경상남도 창원시 진해구 여좌로84번길 7(여좌동. 대야초등학교),35.1593271,128.6634584
