주유소명,주소,버정거리총합,상호개수,교통사고건수,보호구역개수,화재발생건수,총 가중치
광주 벽진 수소충전소,광주광역시 서구 늘재로 589 ,43,18,82,4,25,0
광주임암 수소충전소,"광주광역시 남구 김치로 60, 광주김치타운 ",102,17,250,26,26,0
진곡 수소충전소,광주광역시 광산구 진곡산단중앙로 55 ,111,8,159,3,30,0
동곡 수소충전소,광주광역시 광산구 동곡로 324 ,63,12,94,3,12,0
