,주유소명,버정거리총합,상호개수,교통사고건수,보호구역개수,화재발생건수,총 가중치
159,동양주유소,3,7,4,2,1,0
160,바울주유소,102,21,386,38,43,0
161,(유)백석주유소,8,14,19,2,13,0
162,남양주유소,25,27,55,9,20,0
163,샘터주유소,58,18,308,25,16,0
164,흥국주유소,57,21,77,14,11,0
165,세진셀프주유소,39,31,92,11,20,0
166,상림주유소,22,8,46,5,7,0
167,청솔주유소,113,17,560,55,65,0
168,(유)호마주유소,24,10,44,17,22,0
169,현대오일뱅크(주)직영 호성주유소,28,18,46,10,17,0
170,기린주유소,26,12,40,12,35,0
171,OK셀프주유소,140,17,599,52,79,0
172,그랑프리주유소,25,10,46,5,35,0
173,현대오일뱅크㈜직영 전주IC주유소,21,17,77,10,6,0
174,(유)황금물류주유소,0,9,7,0,2,0
175,신명주유소,22,13,39,10,8,0
176,신협주유소,84,20,376,39,59,0
177,어울림주유소,109,19,565,44,50,0
178,우아주유소,46,12,167,28,38,0
179,석구주유소,3,3,1,1,3,0
180,중인주유소,10,6,12,8,6,0
181,해성주유소,4,4,7,5,3,0
182,톨게이트주유소,16,19,59,10,5,0
183,SK에너지(주) 서곡주유소,81,20,370,39,59,0
184,SK에너지㈜ 대광제일주유소,120,17,644,53,57,0
185,SK에너지㈜ 코끼리주유소,94,22,374,55,47,0
186,골드주유소,39,28,71,13,7,0
187,한흥주유소,126,22,607,52,64,0
188,첨단주유소,33,33,82,12,19,0
189,행복날개2주유소,28,21,67,11,7,0
190,육일주유소,37,16,151,23,28,0
191,평화동주유소,11,7,44,9,13,0
192,송천주유소,52,21,315,25,45,0
193,(주)안국에너지 호반주유소,79,20,423,34,43,0
194,동아주유소,76,16,228,47,37,0
195,중앙주유소,14,13,26,3,16,0
196,덕산주유소,3,7,12,0,3,0
197,새로운주유소,121,18,445,55,58,0
