,주유소명,버정거리총합,상호개수,교통사고건수,보호구역개수,화재발생건수,총 가중치
133,(주)봉림주유소,83,2,70,22,18,0
134,현대오일뱅크㈜직영 극동셀프주유소,93,20,186,30,32,0
135,정목에너지(주)오페주유소,123,23,267,37,36,0
136,광신석유(주)직영 호원주유소,28,1,17,6,0,0
137,중리공단주유소,78,9,34,11,27,0
138,신성주유소,19,2,8,1,0,0
139,대호주유소,65,1,126,13,6,0
140,케이티엑스주유소,121,19,231,36,42,0
141,현대오일뱅크㈜직영 해안셀프주유소,116,17,415,30,31,0
142,현동주유소 (주)유테크 창원지점,27,5,6,3,8,0
143,반동주유소,34,0,0,3,0,0
144,삼진제일주유소,36,0,0,1,13,0
145,지산주유소,57,3,9,7,27,0
146,진동주유소,31,4,20,4,16,0
147,명당주유소,51,2,37,3,0,0
148,행복주유소,106,24,177,35,27,0
149,(주)삼진에너지,52,5,23,8,27,0
150,진동농협주유소,48,4,22,8,27,0
151,부성주유소,96,14,137,29,27,0
152,SK화랑주유소,51,2,3,3,10,0
153,(주)천자봉주유소,48,6,158,3,8,0
154,남해주유소,108,6,358,42,50,0
155,대광주유소,77,3,119,17,15,0
156,화양주유소,23,2,16,1,0,0
157,동면주유소,31,3,15,5,0,0
158,(주)경상석유사파정주유소,119,7,277,47,49,0
159,주남주유소,24,1,12,0,0,0
160,유산주유소,24,1,2,4,11,0
161,굴앞셀프,7,3,0,0,1,0
162,신촌주유소,45,3,42,3,27,0
163,일동주유소,29,2,0,1,0,0
164,전촌주유소,33,3,15,1,0,0
165,회원주유소,145,26,280,45,46,0
166,엔씨파크주유소,78,20,133,16,28,0
167,서마산IC주유소,103,21,190,31,32,0
168,현대오일뱅크㈜직영 중리현대셀프주유소,41,7,21,12,0,0
169,CJ대한통운㈜ 창일주유소,57,12,62,8,17,0
170,태광주유소,136,26,306,43,49,0
171,미소셀프주유소,51,8,35,13,27,0
172,무학산주유소,114,25,426,37,33,0
173,GS칼텍스 관문주유소,32,3,7,3,10,0
174,양지주유소,86,12,288,32,58,0
175,대원주유소,98,9,200,25,25,0
176,상하주유소,105,16,249,34,43,0
177,용마주유소,49,5,36,7,13,0
178,세강주유소,105,16,248,34,39,0
179,농산물주유소,77,10,34,11,27,0
180,현대오일뱅크㈜직영 마산현대주유소,156,30,311,46,43,0
181,상북주유소,17,2,1,0,0,0
182,참조은셀프주유소,82,5,140,22,23,0
183,진해주유소,59,4,138,13,7,0
184,SK에너지(주)자은셀프주유소,86,9,262,25,36,0
185,소계주유소,107,17,175,28,15,0
186,신방주유소,41,2,7,4,38,0
187,광려천주유소,42,8,21,12,0,0
188,현대오일뱅크㈜직영 오일탑주유소,105,14,203,34,32,0
189,현대오일뱅크㈜직영 녹원주유소,52,4,126,13,6,0
190,용담주유소,20,1,0,1,0,0
191,신우에너지(주) 광진주유소,48,1,13,6,24,0
192,내트럭(주)부산신항사업소,58,4,141,13,7,0
193,동영주유소,54,10,29,6,30,0
194,대우주유소,10,4,11,2,10,0
195,일광주유소,141,26,507,42,46,0
196,(주)율선행복드림,10,4,11,2,10,0
197,SK에너지(주)해운주유소,93,9,167,19,27,0
198,한국타이어팔용점 파워주유소,69,12,138,8,16,0
199,SK에너지(주)삼계셀프주유소,51,9,35,14,27,0
200,협성주유소,40,2,24,3,13,0
201,SK에너지(주)도계주유소,110,16,309,44,47,0
202,북창원주유소,50,3,30,1,0,0
203,마금주유소,41,1,48,4,27,0
204,경동에너지주유소,98,14,137,30,25,0
205,장전주유소,95,9,203,27,26,0
206,진해현대주유소,95,6,283,26,19,0
207,대한주유소,122,20,231,31,49,0
208,신월주유소,125,6,321,49,56,0
209,태광주유소,47,3,33,0,16,0
210,석동주유소,78,10,172,25,26,0
211,광신석유(주)직영 용원주유소,39,6,112,10,7,0
212,대방주유소,99,6,187,58,23,0
213,경남주유소,120,6,213,43,37,0
214,용호주유소,128,6,325,38,43,0
215,무지개주유소,111,14,235,33,58,0
216,판도라주유소,32,4,20,4,16,0
217,진웅,48,5,150,3,6,0
218,광신직영(호원셀프),65,10,33,5,30,0
219,야구장주유소,152,30,308,45,51,0
220,광신석유(주)직영 산호주유소,132,28,293,32,34,0
