주유소명,주소,버정거리총합,상호개수,교통사고건수,보호구역개수,화재발생건수,총 가중치
매암 수소충전소,울산광역시 남구 장새포고래로 29번길 5 ,37,0,20,1,10,0
옥동LPG 수소충전소,울산광역시 남구 남부순환도로 465 ,91,7,138,16,13,0
울산 투게더수소충전 ,울산광역시 남구 신화로 99 ,173,23,615,28,47,0
에어프로덕츠 울산 수소충전소,울산광역시 남구 처용로487번길 83 ,22,0,30,0,12,0
경동 수소충전소,울산광역시 북구 북부순환도로 1165 ,144,13,210,29,40,0
언양휴게소 수소충전소,울산광역시 울주군 언양읍 경부고속도로 44 ,35,2,20,1,0,0
그린복합 수소충전소,울산광역시 울주군 온산읍 온산로 256 ,41,5,16,0,0,0
신일복합 수소충전소,울산광역시 울주군 웅촌면 웅촌로 490 ,31,13,34,4,29,0
울산 덕하복합충전소,울산광역시 울주군 청량읍 온산로 545 ,29,9,6,0,0,0
