버정거리총합,상호개수,교통사고건수,보호구역개수,화재발생건수,주유소명,주소,위도,경도
0.221843003,0.513513514,0.048532731,0.105263158,0.177083333,완성주유소,울산 남구 온산로 839 (두왕동),35.5014881,129.3078628
0.529010239,0.594594595,0.581264108,0.456140351,0.244791667,야음주유소,울산 남구 여천로 79,35.5247395,129.3422867
0.535836177,0.594594595,0.579006772,0.456140351,0.244791667,문화주유소,울산 남구 여천로 71 (야음동),35.5245737,129.3417228
0.832764505,0.567567568,0.782167043,0.98245614,0.630208333,현대오일뱅크 동남주유소,울산 남구 수암로 96 (신정동),35.5290322,129.3177929
0.846416382,0.945945946,0.854401806,0.894736842,0.567708333,유명주유소,울산 남구 꽃대나리로 15 (달동),35.533117,129.3314044
0.221843003,0.378378378,0.133182844,0.087719298,0.260416667,(주)삼양주유소,울산 남구 장생포로 79 (여천동),35.5167976,129.3512196
0.648464164,0.594594595,0.338600451,0.754385965,0.630208333,지에스칼텍스(주)수정주유소,울산광역시 남구  두왕로 220 (신정동),35.5225853,129.3127329
0.66552901,0.675675676,0.750564334,0.736842105,0.395833333,SK에너지(주)삼산제일주유소,울산 남구 화합로 228 (삼산동),35.5449671,129.3401315
0.539249147,0.189189189,0.229119639,0.456140351,0.1875,SK에너지(주)월드컵주유소,울산 남구 문수로 93 (무거동),35.5389017,129.2643149
0.494880546,0.675675676,0.286681716,0.473684211,0.197916667,처용로주유소,울산 남구 처용로 92 (선암동),35.5148837,129.3305807
0.372013652,0.513513514,0.152370203,0.298245614,0.046875,기은주유소,울산 남구 산업로 107 (상개동),35.5084784,129.3222795
0.556313993,0.243243243,0.183972912,0.49122807,0.1875,SK에너지직영 남산주유소,울산 남구 남부순환도로 75 (옥동),35.5428142,129.264405
0.80887372,0.648648649,0.5496614,0.771929825,0.677083333,흥남주유소,울산 남구 봉월로 94 (신정동),35.5408355,129.3061249
0.825938567,0.918918919,0.854401806,0.912280702,0.567708333,SK코끼리주유소,울산 남구 꽃대나리로 27 (달동),35.5337634,129.3331043
0.33105802,0.540540541,0.248306998,0.263157895,0.244791667,광신석유(주)직영 여천주유소,울산 남구 장생포로 17 (여천동),35.5196434,129.3455368
0.406143345,0.540540541,0.25282167,0.350877193,0.244791667,신오주유소,울산 남구 수암로 356 (야음동),35.519521,129.3423707
0.651877133,0.702702703,0.56772009,0.578947368,0.244791667,신새벽주유소,울산 남구 수암로 269 (야음동),35.5225375,129.3345812
0.43003413,0.621621622,0.497742664,0.245614035,0.213541667,무지개주유소,울산 남구 산업로 515 (여천동),35.5302561,129.3499876
0.290102389,0.081081081,0.042889391,0.333333333,0.088541667,남목주유소,울산 동구 방어진순환도로 1208 (서부동),35.5318715,129.432287
0.218430034,0.162162162,0.057562077,0.280701754,0.0625,소나타주유소,울산 동구 방어진순환도로 1280,35.5324014,129.4119882
0.290102389,0.081081081,0.042889391,0.333333333,0.088541667,동방석유(주)직영 현대주유소,울산 동구  방어진순환도로 1146 (서부동),35.5318715,129.432287
0.47440273,0.027027027,0.422121896,0.50877193,0.229166667,동울산주유소,울산 동구 방어진순환도로 753 (전하동),35.5147236,129.4230902
0.52559727,0.162162162,0.240406321,0.49122807,0.213541667,그린주유소,울산 동구 방어진순환도로 410 (방어동),35.4894911,129.4132626
0.529010239,0.162162162,0.240406321,0.49122807,0.213541667,한마음주유소,울산 동구 방어진순환도로 424 (방어동),35.4884703,129.4143015
0.52559727,0.162162162,0.240406321,0.49122807,0.213541667,한마음새마을금고주유소,울산 동구 방어진순환도로 420,35.4889199,129.4138598
0.546075085,0.189189189,0.458239278,0.614035088,0.192708333,현대오일뱅크㈜직영 울산대교셀프주유소,울산 동구 봉수로 221 (화정동),35.5049973,129.4192294
0.279863481,0.081081081,0.042889391,0.333333333,0.088541667,현대오일뱅크㈜직영 울산셀프주유소,울산 동구 방어진순환도로 1025,35.5324589,129.4322518
