,주유소명,버정거리총합,상호개수,교통사고건수,보호구역개수,화재발생건수,총 가중치,주소,위도,경도
45,현대주유소,5,5,3,5,5,4.48,전북 전주시 완산구 춘향로 5197 (대성동),35.8003626,127.1781044
46,착한5주유소,1,1,1,3,2,1.771,전북 전주시 덕진구 동부대로 1192,35.8701285,127.1166702
47,더드림주유소,1,2,1,5,4,3.08,전북 전주시 덕진구 온고을로 541,35.8546006,127.0708628
48,싼셀프주유소,5,5,4,5,5,4.74,전북 전주시 완산구 춘향로 5190,35.7993097,127.1795313
49,할인주유소,1,2,1,1,4,2.544,전북 전주시 덕진구 온고을로 361 (팔복동3가),35.8456117,127.0900234
50,웰컴주유소,3,2,1,5,2,2.21,전북 전주시 덕진구 감수길 87-15,35.8706645,127.0983123
51,황금주유소,2,5,1,5,1,1.744,전북 전주시 덕진구 초포다리로 176,35.8712677,127.1584757
52,서진셀프주유소,1,1,1,2,1,1.134,전북 전주시 완산구 유연로 48 (효자동3가),35.8233799,127.0911747
53,스타주유소,1,3,1,1,1,1.07,전북 전주시 완산구 서원로 313 (중화산동2가),35.811965,127.1288006
54,기쁨주유소,5,5,4,5,5,4.74,전북 전주시 완산구 춘향로 5129 (색장동),35.7971465,127.1870877
55,비전주유소,1,4,1,1,1,1.105,전북 전주시 완산구 천잠로 217 (효자동2가),35.805586,127.1091945
56,삼성Self주유소,1,5,1,1,1,1.14,전북 전주시 완산구 견훤왕궁로 74 (중노송동),35.8271012,127.1541168
57,고덕주유소,5,5,4,5,1,2.728,전북 전주시 완산구 동부대로 46 (색장동),35.7999075,127.1923579
58,용머리주유소,1,4,1,1,1,1.105,전북 전주시 완산구 용머리로 268 (서완산동1가),35.8103311,127.1393231
59,참사랑주유소,1,1,1,1,1,1,전북 전주시 완산구  안행로 70 (효자동1가),35.802431,127.1354236
60,대국셀프주유소,1,4,1,1,1,1.105,전북 전주시 완산구 안행로 65,35.8024792,127.1347327
61,대한에너지,1,4,1,5,3,2.647,전북 전주시 덕진구 초포다리로 70,35.8623519,127.1599961
62,전주농협주유소,1,5,1,1,1,1.14,전북 전주시 덕진구 완주로 55 (호성동2가),35.8717465,127.1487757
63,남고산셀프주유소,1,5,1,4,2,2.045,전북 전주시 완산구 남고산성1길 10-68 (동서학동),35.8070631,127.1576897
64,현대오일뱅크 동현주유소,1,5,1,1,1,1.14,전북 전주시 덕진구 견훤로 182 (인후동1가),35.8281207,127.1604344
