,주유소명,버정거리총합,상호개수,교통사고건수,보호구역개수,화재발생건수,총 가중치
214,송정현대주유소,83,19,289,11,27,0
215,첨단주유소,123,10,391,37,30,0
216,해피주유소,14,5,1,1,8,0
217,선운주유소,118,15,136,12,24,0
218,㈜대창석유직영 매일주유소,29,11,87,11,15,0
219,금성2주유소,101,16,269,31,34,0
220,현대오일뱅크주유소,44,2,15,0,4,0
221,지에스칼텍스(주) 웰컴신가주유소,101,23,582,60,65,0
222,임곡농협주유소,36,1,1,3,5,0
223,스마일주유소,52,2,22,0,4,0
224,현대오일뱅크(주)직영 사랑받는주유소,76,20,202,13,56,0
225,지에스칼텍스(주)수완셀프주유소,119,25,731,64,79,0
226,광주주유소,99,13,116,5,23,0
227,진곡산단주유소,88,4,76,0,20,0
228,신광주셀프주유소,93,21,415,53,69,0
229,이칠주유소,48,16,234,7,22,0
230,현대오일뱅크㈜직영 성현주유소,126,9,180,2,42,0
231,현대오일뱅크(주) 비아도천주유소,112,25,264,36,55,0
232,현대오일뱅크㈜직영 하남제일주유소,112,25,264,36,55,0
233,천지주유소,18,0,0,0,0,0
234,(주)평산주유소,69,6,167,2,17,0
235,우공주유소,42,3,6,1,2,0
236,이마트24서비스 광주수완주유소,150,15,580,60,49,0
237,SK에너지(주) 수완셀프주유소,117,28,763,62,57,0
238,에스주유소,31,0,0,0,2,0
239,내트럭(주)광주사업소,136,12,320,14,36,0
240,대천주유소,25,2,0,0,4,0
241,지에스칼텍스(주)장수IC주유소,79,7,146,3,18,0
242,유한회사 금성주유소,79,5,45,0,17,0
243,지에스칼텍스(주)어등산상주유소,93,16,277,31,24,0
244,보훈주유소,121,18,627,43,47,0
245,애경주유소,116,20,228,46,43,0
246,(주)에이치에스에너지 장수주유소,66,11,123,10,18,0
247,송촌주유소,115,15,280,14,15,0
248,푸른솔주유소,17,1,1,0,2,0
249,하남농협주유소,138,16,494,51,49,0
250,현대오일뱅크㈜직영 장덕셀프주유소,98,20,335,28,28,0
251,채움주유소,112,25,264,36,55,0
252,전송주유소,92,16,289,19,14,0
253,SK에너지(주) 태양셀프주유소,122,19,413,51,36,0
254,(주)신삼성로주유소,124,26,413,20,53,0
255,슈퍼크린주유소(s),48,16,195,8,22,0
256,흑석주유소,148,14,576,60,49,0
257,(주)운남대교주유소,82,16,367,44,41,0
258,한백석유첨단주유소(SK),108,16,292,32,34,0
259,서강주유소,82,17,356,56,47,0
260,만선주유소,112,25,264,36,55,0
261,부싯돌주유소,114,15,280,14,15,0
262,(주)초당산업송초주유소,23,0,0,0,0,0
263,성진주유소,126,19,414,53,49,0
264,하남현대주유소(H),88,14,59,2,23,0
265,SK행복충전 제일에너지충전소,86,16,461,54,51,0
266,남동진LPG충전소,82,16,367,44,41,0
267,SK행복충전 공항엘피지충전소,38,13,61,3,25,0
268,(주)영진에너지,63,20,202,8,42,0
269,반디가스 신가점,80,14,457,50,51,0
270,빛고을충전소,75,15,451,47,51,0
271,광산IC LPG충전소,103,19,263,29,34,0
272,오렌지LPG충전소,33,10,31,2,25,0
273,부경LPG충전소,118,15,136,12,24,0
274,SK행복충전 더드론 수완충전소,120,27,763,63,57,0
275,(주)대창석유직영양지LPG충전소,69,15,176,28,15,0
276,SK행복충전 만남의광장충전소,84,18,214,31,15,0
277,진솔가스,43,3,6,1,2,0
278,반디가스 첨단점,125,19,434,47,47,0
279,명성가스,97,18,247,33,27,0
280,수완LPG충전소,163,18,658,46,44,0
281,SK행복충전 제일에너지충전소 동곡점,30,6,3,1,17,0
282,SK행복충전 광주엘피지충전소,34,6,81,1,15,0
283,동일가스㈜,95,17,116,6,26,0
284,신창LPG충전소,75,12,198,39,29,0
285,대성가스(주)지평선충전소,28,3,3,2,7,0
286,신공항LPG충전소,87,19,248,20,36,0
287,금정LPG충전소,83,16,316,36,29,0
288,SK행복충전 한일엘피지충전소,83,12,315,38,29,0
289,SK행복충전 한일에너지충전소,119,22,728,65,39,0
290,SK행복충전 효천엘피지충전소,66,8,30,14,12,0
291,반디가스 송암점,102,12,300,34,38,0
292,광주LPG충전소,112,15,397,34,24,0
293,(주)금정남광주lpg충전소,120,12,369,45,38,0
294,SK행복충전 동부충전소,109,6,278,44,24,0
295,반디가스 지원점,78,5,173,24,28,0
296,(주)도시산업엘피지,240,28,749,43,91,0
297,매일LPG,41,6,2,1,6,0
298,(주)무등LPG충전소,75,18,253,44,16,0
299,반디가스 운암본점,185,22,951,54,77,0
300,패밀리LPG충전소,132,15,655,62,62,0
301,광산업단지충전소,48,7,26,1,6,0
302,대창석유 국일충전소,140,13,657,49,76,0
303,반디가스 일곡점,109,16,417,60,33,0
304,SK행복충전 바로오케이충전소,166,16,910,55,48,0
305,SK행복충전 미래엘피지충전소,117,15,357,36,41,0
306,SK행복충전 동광주LPG충전소,29,2,8,1,0,0
307,동화가스(주),92,10,571,47,51,0
308,대성LPG충전소,121,9,508,52,55,0
309,SK행복충전 광주개인택시조합엘피지충전소,82,15,339,53,42,0
310,디오충전소,139,14,1075,37,90,0
311,풍암LPG충전소,91,11,217,20,31,0
312,주식회사대동가스,95,12,223,25,23,0
313,목포도시가스(주)MC에너지,157,20,1252,52,122,0
314,대양케미칼주유소/충전소,91,16,224,23,44,0
315,(유)남악 청기와충전소,202,24,1257,52,89,0
