지역,상호,타입,주소,위도,경도
울산광역시,남목주유소,주유소,울산 동구 방어진순환도로 1208 (서부동),35.5318715,129.432287
울산광역시,소나타주유소,주유소,울산 동구 방어진순환도로 1280,35.5324014,129.4119882
울산광역시,동방석유(주)직영 현대주유소,주유소,울산 동구  방어진순환도로 1146 (서부동),35.5318715,129.432287
울산광역시,동울산주유소,주유소,울산 동구 방어진순환도로 753 (전하동),35.5147236,129.4230902
울산광역시,그린주유소,주유소,울산 동구 방어진순환도로 410 (방어동),35.4894911,129.4132626
울산광역시,한마음주유소,주유소,울산 동구 방어진순환도로 424 (방어동),35.4884703,129.4143015
울산광역시,한마음새마을금고주유소,주유소,울산 동구 방어진순환도로 420,35.4889199,129.4138598
울산광역시,현대오일뱅크㈜직영 울산대교셀프주유소,주유소,울산 동구 봉수로 221 (화정동),35.5049973,129.4192294
울산광역시,현대오일뱅크㈜직영 울산셀프주유소,주유소,울산 동구 방어진순환도로 1025,35.5324589,129.4322518
울산광역시,아카데미주유소,주유소,울산 동구 방어진순환도로 486 (방어동),35.4871773,129.4208732
울산광역시,동주유소,주유소,울산 동구 방어진순환도로 431 (방어동),35.4884921,129.4154403
울산광역시,신천셀프주유소,주유소,울산 북구 산업로 1481 (신천동),35.6375973,129.3472322
울산광역시,보경주유소(주),주유소,울산 북구 산업로 1602 (중산동),35.6548644,129.3429921
울산광역시,이화주유소,주유소,울산 북구 산업로 1645 (중산동),35.6596971,129.338909
울산광역시,강동에너지솔루션,주유소,울산 북구 동해안로 1845-252(산하동),35.6330385,129.4404196
울산광역시,유성주유소,주유소,울산 북구 산업로 1433 (신천동),35.6375973,129.3472322
울산광역시,지에스칼텍스(주)북울산주유소,주유소,울산 북구 산업로 1180 (송정동),35.5948445,129.3575757
울산광역시,연암주유소,주유소,울산 북구 북부순환도로 1159,35.5809525,129.3569512
울산광역시,대양석유(주)풍차휴게주유소,주유소,울산 북구 산업로 1448-1 (신천동),35.6319731,129.3536323
울산광역시,온누리주유소,주유소,울산 북구 신답로 31 (상안동),35.6288285,129.3449365
울산광역시,수성탱크터미널서비스㈜ 진명셀프주유소,주유소,울산 북구 진장동 염포로 180,35.5603961,129.3569212
울산광역시,(주)경동에너지,주유소,울산 북구 염포로 349 (양정동),35.5516471,129.3753021
울산광역시,영남주유소,주유소,울산 북구 무룡1로 110 (연암동),35.5775813,129.3713942
울산광역시,지에스칼텍스(주) 무룡산셀프주유소,주유소,울산 북구 무룡1로 105 (연암동),35.5779928,129.3707944
울산광역시,농소농협주유소,주유소,울산 북구 매곡로 11,35.6460585,129.3571288
울산광역시,형제주유소,주유소,울산 북구 무룡로 90 (연암동),35.5777517,129.3770832
울산광역시,동천강주유소,주유소,울산 북구 진장동 염포로 177,35.5613197,129.3587832
울산광역시,(주)천일에너지 천일주유소(염포점),주유소,울산 북구 염포로 765,35.5268387,129.3985975
울산광역시,거북이주유소,주유소,울산 북구 방어진순환도로 1391,35.5258056,129.4030414
울산광역시,현대주유소,주유소,울산 북구 산업로 1274 (창평동),35.6127478,129.3568247
울산광역시,내트럭(주) 울산약수사업소,주유소,울산 북구 산업로 1515,35.6334994,129.3483867
울산광역시,현대오일뱅크㈜직영 미포셀프주유소,주유소,울산 북구 염포로 233 (효문동),35.5616948,129.3647502
울산광역시,(주)천일에너지 천일주유소,주유소,울산 북구 방어진순환도로 1453,35.5219455,129.3986824
울산광역시,주식회사 동해주유소,주유소,울산 북구 동해안로 1539 (정자동),35.6146553,129.4425386
울산광역시,공항주유소,주유소,울산 북구 산업로 1102 (송정동),35.6022453,129.3727993
울산광역시,삼일주유소(SK),주유소,울산 북구 동해안로 1697 (산하동),35.6306951,129.427944
울산광역시,현대오일뱅크㈜직영 동광주유소,주유소,울산 북구 안기번득길 23 (화봉동),35.5860914,129.3585694
울산광역시,서안오토모티브(주) 효문지점 직영주유소,주유소,울산 북구 공단길 20-4,35.5705421,129.3680696
울산광역시,연암제일주유소,주유소,울산 북구 무룡로 76 (연암동),35.5801075,129.3895021
울산광역시,남운주유소,주유소,울산 북구 동대로 90 (호계동),35.6306296,129.3592023
울산광역시,동운주유소,주유소,울산 북구 매곡로 164 (매곡동),35.6463633,129.3583248
울산광역시,양정주유소,주유소,울산 북구 염포로 499 (양정동),35.5500564,129.381602
울산광역시,새한주유소,주유소,울산 북구 효암로 84-1 (명촌동),35.5551306,129.3639551
울산광역시,태화주유소,주유소,울산 북구 산업로 1432 (신천동),35.6375973,129.3472322
울산광역시,지에스칼텍스(주)태화주유소,주유소,울산광역시 북구  염포로 278 (효문동),35.571188,129.3730193
울산광역시,태평양주유소,주유소,울산 북구 산업로 1707 (중산동),35.6628816,129.3533928
울산광역시,중울산주유소,주유소,울산 북구 호계로 176 (창평동),35.6201638,129.3566464
울산광역시,차세대주유소,주유소,울산 중구 구교로 170 (반구동),35.5597587,129.3406589
울산광역시,동부주유소,주유소,울산 중구 염포로 52,35.5603265,129.3469676
울산광역시,대양석유(주)대정주유소,주유소,울산 중구 북부순환도로 889 (서동),35.5809566,129.3469661
울산광역시,우리들주유소,주유소,울산 중구 북부순환도로 784 (남외동),35.5658866,129.3474877
울산광역시,우정주유소,주유소,울산 중구 중앙길 14 (성남동),35.553425,129.3151601
울산광역시,스카이주유소,주유소,울산 중구 성안로 157 (성안동),35.5747248,129.3156284
울산광역시,대영주유소,주유소,울산 중구 북부순환도로 730,35.5714513,129.3352122
울산광역시,함월셀프주유소,주유소,울산 중구 성안로 135 (성안동),35.5729302,129.3145643
울산광역시,(주)화주유소,주유소,울산 중구 태화로 248 (태화동),35.5527275,129.3025282
울산광역시,태화루주유소,주유소,울산 중구 태화로 161,35.5532054,129.2937214
울산광역시,미림주유소,주유소,울산 중구 태화로 119 (태화동),35.5535135,129.2891912
울산광역시,지에스칼텍스㈜ 혁신도시주유소,주유소,울산 중구 종가로 406-36,35.5794053,129.3383771
울산광역시,동아주유소,주유소,울산 중구 다운로 166,35.5674474,129.2665966
울산광역시,북부순환주유소,주유소,울산 중구 북부순환도로 194,35.5573062,129.2834382
